Date : 2025-09-23 22:10:21
Directory : d:\ComputerScienceLearning\JavaLearningForWork\JavaSE_Project
Total : 119 files,  1633 codes, 216 comments, 496 blanks, all 2345 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        119 |      1,633 |        216 |        496 |      2,345 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        119 |      1,633 |        216 |        496 |      2,345 |
| AdvancedThread                                                                                                                                      |         14 |        221 |         11 |         63 |        295 |
| AdvancedThread\src                                                                                                                                  |         14 |        221 |         11 |         63 |        295 |
| AdvancedThread\src\com                                                                                                                              |         14 |        221 |         11 |         63 |        295 |
| AdvancedThread\src\com\itheima                                                                                                                      |         14 |        221 |         11 |         63 |        295 |
| AdvancedThread\src\com\itheima\ForgetDemo                                                                                                           |          5 |         79 |          4 |         22 |        105 |
| AdvancedThread\src\com\itheima\demo4_synchronized_code                                                                                              |          3 |         54 |          3 |         16 |         73 |
| AdvancedThread\src\com\itheima\demo7executorService                                                                                                 |          3 |         44 |          1 |         14 |         59 |
| AdvancedThread\src\com\itheima\thread_safety                                                                                                        |          3 |         44 |          3 |         11 |         58 |
| ArrayTest                                                                                                                                           |          1 |          5 |         12 |          3 |         20 |
| ArrayTest\src                                                                                                                                       |          1 |          5 |         12 |          3 |         20 |
| Day01-collection                                                                                                                                    |         12 |        126 |         12 |         46 |        184 |
| Day01-collection\src                                                                                                                                |         12 |        126 |         12 |         46 |        184 |
| Day01-collection\src\com                                                                                                                            |         12 |        126 |         12 |         46 |        184 |
| Day01-collection\src\com\itheima                                                                                                                    |         12 |        126 |         12 |         46 |        184 |
| Day01-collection\src\com\itheima\GenericDemo4                                                                                                       |          1 |         14 |          1 |          3 |         18 |
| Day01-collection\src\com\itheima\demo1exception                                                                                                     |          4 |         61 |         10 |         17 |         88 |
| Day01-collection\src\com\itheima\demo2genericity                                                                                                    |          2 |         12 |          1 |          6 |         19 |
| Day01-collection\src\com\itheima\demo3genericity                                                                                                    |          4 |         26 |          0 |         14 |         40 |
