Date : 2025-09-28 14:49:15
Directory : d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_04_request_param
Total : 44 files,  151 codes, 16 comments, 38 blanks, all 205 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         26 |        143 |         16 |         38 |        197 |
| XML             |         10 |          8 |          0 |          0 |          8 |
| Java Properties |          4 |          0 |          0 |          0 |          0 |
| HTML            |          4 |          0 |          0 |          0 |          0 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |         44 |        151 |         16 |         38 |        205 |
| . (Files)                                                                                                                                                          |          2 |         77 |          0 |          5 |         82 |
| ..                                                                                                                                                                 |         21 |     -4,096 |       -536 |       -105 |     -4,737 |
| ..\springmvc_03_request_mapping                                                                                                                                    |         21 |     -4,096 |       -536 |       -105 |     -4,737 |
| ..\springmvc_03_request_mapping (Files)                                                                                                                            |          2 |        -69 |          0 |         -5 |        -74 |
| ..\springmvc_03_request_mapping\src                                                                                                                                |          5 |        -59 |         -4 |        -17 |        -80 |
| ..\springmvc_03_request_mapping\src\main                                                                                                                           |          5 |        -59 |         -4 |        -17 |        -80 |
| ..\springmvc_03_request_mapping\src\main\java                                                                                                                      |          4 |        -54 |         -4 |        -16 |        -74 |
| ..\springmvc_03_request_mapping\src\main\java\com                                                                                                                  |          4 |        -54 |         -4 |        -16 |        -74 |
| ..\springmvc_03_request_mapping\src\main\java\com\itheima                                                                                                          |          4 |        -54 |         -4 |        -16 |        -74 |
| ..\springmvc_03_request_mapping\src\main\java\com\itheima\config                                                                                                   |          2 |        -20 |          0 |         -9 |        -29 |
| ..\springmvc_03_request_mapping\src\main\java\com\itheima\controller                                                                                               |          2 |        -34 |         -4 |         -7 |        -45 |
| ..\springmvc_03_request_mapping\src\main\webapp                                                                                                                    |          1 |         -5 |          0 |         -1 |         -6 |
| ..\springmvc_03_request_mapping\target                                                                                                                             |         14 |     -3,968 |       -532 |        -83 |     -4,583 |
| ..\springmvc_03_request_mapping\target\classes                                                                                                                     |          6 |        -62 |          0 |          0 |        -62 |
| ..\springmvc_03_request_mapping\target\classes (Files)                                                                                                             |          1 |        -10 |          0 |          0 |        -10 |
| ..\springmvc_03_request_mapping\target\classes\com                                                                                                                 |          5 |        -52 |          0 |          0 |        -52 |
| ..\springmvc_03_request_mapping\target\classes\com\itheima                                                                                                         |          5 |        -52 |          0 |          0 |        -52 |
| ..\springmvc_03_request_mapping\target\classes\com\itheima\config                                                                                                  |          3 |        -27 |          0 |          0 |        -27 |
| ..\springmvc_03_request_mapping\target\classes\com\itheima\controller                                                                                              |          2 |        -25 |          0 |          0 |        -25 |
| ..\springmvc_03_request_mapping\target\maven-archiver                                                                                                              |          1 |         -3 |         -2 |         -1 |         -6 |
| ..\springmvc_03_request_mapping\target\springmvc_day01_quickstart-1.0-SNAPSHOT                                                                                     |          2 |        -11 |          0 |         -3 |        -14 |
| ..\springmvc_03_request_mapping\target\springmvc_day01_quickstart-1.0-SNAPSHOT (Files)                                                                             |          1 |         -5 |          0 |         -1 |         -6 |
| ..\springmvc_03_request_mapping\target\springmvc_day01_quickstart-1.0-SNAPSHOT\WEB-INF                                                                             |          1 |         -6 |          0 |         -2 |         -8 |
| ..\springmvc_03_request_mapping\target\tomcat                                                                                                                      |          5 |     -3,892 |       -530 |        -79 |     -4,501 |
| ..\springmvc_03_request_mapping\target\tomcat\conf                                                                                                                 |          3 |     -3,791 |       -522 |        -63 |     -4,376 |
| ..\springmvc_03_request_mapping\target\tomcat\work                                                                                                                 |          2 |       -101 |         -8 |        -16 |       -125 |
| ..\springmvc_03_request_mapping\target\tomcat\work\Tomcat                                                                                                          |          2 |       -101 |         -8 |        -16 |       -125 |
| ..\springmvc_03_request_mapping\target\tomcat\work\Tomcat\localhost                                                                                                |          2 |       -101 |         -8 |        -16 |       -125 |
